Sample counting table for 90 days with 1000 emails added daily:

('date', 'domain', 'number of occurences')
('20140909', 'IaiWAQIGYVTJoaol.com', 1)
('20140909', 'tSIjUPRJEVPQYyBvaol.com', 1)
('20140909', 'gmail.com', 65)
('20140909', 'yahoo.com', 57)
('20140909', 'b', 1)
('20140909', 'UxeJzruFcoyEpaol.com', 1)
('20140909', 'aol.com', 1)
('20140909', 'crRpX', 1)
('20140909', 'jmcmvxLqWaol.com', 1)
('20140909', 'gmx.de', 65)
('20140909', 'ZIGpfrPy', 1)
('20140909', 'LAF', 1)
('20140909', 'BzH', 1)
('20140910', 'corrupted', 593)
('20140910', 'live.com', 65)
('20140910', 'Vtwaol.com', 1)
('20140910', 'QkBDSXnaol.com', 1)
('20140910', 'mail.ru', 62)
('20140910', 'CrqOMJe', 1)
('20140910', 'Rk', 1)
('20140910', 'paol.com', 1)
('20140910', 'NWWgc', 1)
('20140910', 'jaol.com', 1)
('20140910', 'huaol.com', 1)
('20140910', 'B', 2)
('20140910', 'UulmDCpHLJp', 1)
('20140910', 'hotmail.com', 66)
('20140910', 'auiEHflhaol.com', 1)
('20140910', 'VKz', 1)
('20140910', 'FaiZ', 1)
('20140910', 'dskTlLd', 1)
('20140910', 'gmail.com', 52)
('20140910', 'MDCkPje', 1)
('20140910', 'Eaol.com', 1)
('20140910', 'eWMvvnhrKwRJaol.com', 1)
('20140910', 'yahoo.com', 69)
('20140910', 'YqfVM', 1)
('20140910', 'qhNBRn', 1)
('20140910', 'aol.com', 1)
('20140910', 'ZDwJDfaol.com', 1)
('20140910', 'gmx.de', 69)
('20140910', 'ky', 1)
('20140910', 'Ztuaol.com', 1)
('20140911', 'eaol.com', 1)
('20140911', 'NIPVdHmq', 1)
('20140911', 'corrupted', 566)
('20140911', 'live.com', 76)
('20140911', 'ACW', 1)
('20140911', 'mail.ru', 63)
('20140911', 'faol.com', 1)
('20140911', 'ArLZyzY', 1)
('20140911', 'GrIUmwATWxFrJ', 1)
('20140911', 'TKQaQggRkJLxVXlxaol.com', 1)
('20140911', 'QOwrRqaol.com', 1)
('20140911', 'XYmFoAmFk', 1)
('20140911', 'hotmail.com', 64)
('20140911', 'rsk', 1)
('20140911', 'iylpZvMsiaol.com', 1)
('20140911', 'aDUvNCEuWaol.com', 1)
('20140911', 'gmail.com', 57)
('20140911', 'rtaol.com', 1)
('20140911', 'yahoo.com', 82)
('20140911', 'pQf', 1)
('20140911', 'aol.com', 2)
('20140911', 'gmx.de', 75)
('20140911', 'UQaol.com', 1)
('20140912', 'corrupted', 580)
('20140912', 'live.com', 68)
('20140912', 'Siaol.com', 1)
('20140912', 'mail.ru', 61)
('20140912', 'bIkqHsyaiaol.com', 1)
('20140912', 'AfUzZepdanEPaol.com', 1)
('20140912', 'aKGsjVBbmvidmaol.com', 1)
('20140912', 'F', 1)
('20140912', 'ND', 1)
('20140912', 'ytqdjLrsLaol.com', 1)
('20140912', 'iraol.com', 1)
('20140912', 'VfkLv', 1)
('20140912', 'uXoQ', 1)
('20140912', 'ikOwIfXe', 1)
('20140912', 'hotmail.com', 65)
('20140912', 'cJ', 1)
('20140912', 'J', 1)
('20140912', 'P', 1)
('20140912', 'SdwSuQ', 1)
('20140912', 'gmail.com', 68)
('20140912', 'UorsUBaol.com', 1)
('20140912', 'kEcIMvCSvsTwaol.com', 1)
('20140912', 'yahoo.com', 66)
('20140912', 'up', 1)
('20140912', 'aol.com', 2)
('20140912', 'FylOggGQDxxmSS', 1)
('20140912', 'Jzaol.com', 1)
('20140912', 'ppTYyYRhraol.com', 1)
('20140912', 'gmx.de', 66)
('20140912', 'rzvkVaol.com', 1)
('20140912', 'YgxZsLTBEaol.com', 1)
('20140912', 'YXXaol.com', 1)
('20140913', 'corrupted', 575)
('20140913', 'sNZCgHHpbiaol.com', 1)
('20140913', 'live.com', 70)
('20140913', 'gmail.com', 68)
('20140913', 'Pb', 1)
('20140913', 'mail.ru', 71)
('20140913', 'LIuvKykriRaol.com', 1)
('20140913', 'mQeczPSOMujKGZSp', 1)
('20140913', 'pBejz', 1)
('20140913', 'bpjKnaol.com', 1)
('20140913', 'mOkhpvXqIOtwHEgqR', 1)
('20140913', 'oLdmGQVGDKo', 1)
('20140913', 'KBzbFziLaol.com', 1)
('20140913', 'C', 1)
('20140913', 'EN', 1)
('20140913', 'hotmail.com', 65)
('20140913', 'vVIRoPPf', 1)
('20140913', 'HCaCUUb', 1)
('20140913', 'WvEJXyWmcaol.com', 1)
('20140913', 'yahoo.com', 63)
('20140913', 'c', 1)
('20140913', 'aol.com', 2)
('20140913', 'pQOArb', 1)
('20140913', 'BUkHUKb', 1)
('20140913', 'gmx.de', 69)
('20140914', 'yahoo.com', 79)
('20140914', 'Vyioltqaol.com', 1)
('20140914', 'corrupted', 573)
('20140914', 'hotmail.com', 64)
('20140914', 'K', 1)
('20140914', 'live.com', 68)
('20140914', 'vaol.com', 1)
('20140914', 'fFdLaol.com', 1)
('20140914', 'NTOQsikSvOK', 1)
('20140914', 'aol.com', 1)
('20140914', 'gmail.com', 74)
('20140914', 'mail.ru', 67)
('20140914', 'gmx.de', 65)
('20140914', 'DsowdiQTRukaol.com', 1)
('20140914', 'QAj', 1)
('20140914', 'nMfgraol.com', 1)
('20140914', 'gEkNoSvNaol.com', 1)
('20140915', 'KZTaol.com', 1)
('20140915', 'corrupted', 599)
('20140915', 'live.com', 72)
('20140915', 'xYwg', 1)
('20140915', 'nqc', 1)
('20140915', 'jDZSKIqCvsYAeJ', 1)
('20140915', 'mail.ru', 54)
('20140915', 'waol.com', 1)
('20140915', 'jFuGsohVkdgaol.com', 1)
('20140915', 'VK', 1)
('20140915', 'hotmail.com', 68)
('20140915', 'oMZLrFEaol.com', 1)
('20140915', 'xhyFTt', 1)
('20140915', 'dFrJgAgFsnW', 1)
('20140915', 'N', 1)
('20140915', 'oaol.com', 1)
('20140915', 'gmail.com', 73)
('20140915', 'JrqiPou', 1)
('20140915', 'maol.com', 1)
('20140915', 'yahoo.com', 49)
('20140915', 'WSOUC', 1)
('20140915', 'Eaol.com', 1)
('20140915', 'aol.com', 1)
('20140915', 'tWmehMdTJZ', 1)
('20140915', 'v', 1)
('20140915', 'gmx.de', 64)
('20140915', 'ScupeVU', 1)
('20140915', 'bdeEROaol.com', 1)
('20140916', 'URKuwuaol.com', 1)
('20140916', 'corrupted', 582)
('20140916', 'live.com', 71)
('20140916', 'mail.ru', 58)
('20140916', 'IYEOqAaol.com', 1)
('20140916', 'vBFMYVaol.com', 1)
('20140916', 'PLhOkhSYn', 1)
('20140916', 'RFltX', 1)
('20140916', 'Soaol.com', 1)
('20140916', 'dpwaol.com', 1)
('20140916', 'GNUsTabVF', 1)
('20140916', 'WaMhWXVpfIHJctaol.com', 1)
('20140916', 'uTAaol.com', 1)
('20140916', 'hotmail.com', 73)
('20140916', 'TiOGUYUeV', 1)
('20140916', 'gmail.com', 72)
('20140916', 'DhqTT', 1)
('20140916', 'VfgWXBYzaol.com', 1)
('20140916', 'NJUoSySaWZQ', 1)
('20140916', 'yahoo.com', 50)
('20140916', 'trTvseNhLijqjU', 1)
('20140916', 'b', 1)
('20140916', 'PhyMUTnEcV', 1)
('20140916', 'ALCjvlQUaol.com', 1)
('20140916', 'lZvwaIiQjlyaol.com', 1)
('20140916', 'gmx.de', 75)
('20140917', 'kGFSNIJCymJr', 1)
('20140917', 'corrupted', 581)
('20140917', 'yaol.com', 1)
('20140917', 'QgddBaol.com', 1)
('20140917', 'EmfVGUA', 1)
('20140917', 'live.com', 61)
('20140917', 'OSKCwQaol.com', 1)
('20140917', 'gkPgfkcmWaol.com', 1)
('20140917', 'mail.ru', 77)
('20140917', 'Traol.com', 1)
('20140917', 'HPhO', 1)
('20140917', 'BKiWvaol.com', 1)
('20140917', 'mGjVx', 1)
('20140917', 'ZCvtaol.com', 1)
('20140917', 'taol.com', 1)
('20140917', 'nwLkl', 1)
('20140917', 'jMrqQUKyamWGeYpUyaol.com', 1)
('20140917', 'WtKIftaol.com', 1)
('20140917', 'hotmail.com', 63)
('20140917', 'WWveDT', 1)
('20140917', 'gmail.com', 76)
('20140917', 'tEGhgsZjCCaol.com', 1)
('20140917', 'IZPpChlxaol.com', 1)
('20140917', 'gjaSqugPZhwIlxF', 1)
('20140917', 'yahoo.com', 64)
('20140917', 'niL', 1)
('20140917', 'aol.com', 2)
('20140917', 'qQZddHneGKafWt', 1)
('20140917', 'takLfat', 1)
('20140917', 'skFuPhARtwBXa', 1)
('20140917', 'gmx.de', 52)
('20140917', 'BDCu', 1)
('20140918', 'nZKuskhTw', 1)
('20140918', 'xFSL', 1)
('20140918', 'corrupted', 564)
('20140918', 'live.com', 65)
('20140918', 'iqaol.com', 1)
('20140918', 'Faol.com', 1)
('20140918', 'mail.ru', 73)
('20140918', 'Td', 1)
('20140918', 'BkRgTtbawUaol.com', 1)
('20140918', 'eL', 1)
('20140918', 'kaol.com', 1)
('20140918', 'BwfFEq', 1)
('20140918', 'hQODbBaol.com', 1)
('20140918', 'dQusYqsx', 1)
('20140918', 'FpcyMHYcbwzPk', 1)
('20140918', 'a', 1)
('20140918', 'CxRCFBLqLwQHuWKaol.com', 1)
('20140918', 'hotmail.com', 78)
('20140918', 'rfSqAaol.com', 1)
('20140918', 'gmail.com', 68)
('20140918', 'yahoo.com', 60)
('20140918', 'h', 1)
('20140918', 'aol.com', 2)
('20140918', 'UYZL', 1)
('20140918', 'gmx.de', 73)
('20140919', 'GwrjXaol.com', 1)
('20140919', 'corrupted', 588)
('20140919', 'live.com', 57)
('20140919', 'wsWnuOelRAHAcaol.com', 1)
('20140919', 'sEKsEqaol.com', 1)
('20140919', 'ZCaReAfyVFq', 1)
('20140919', 'pyCt', 1)
('20140919', 'mail.ru', 66)
('20140919', 'ydipsFegaol.com', 1)
('20140919', 'YCZinylKaol.com', 1)
('20140919', 'FvtpfEbHmCoOX', 1)
('20140919', 'SzQEaol.com', 1)
('20140919', 'UacHzaol.com', 1)
('20140919', 'hotmail.com', 59)
('20140919', 'uCtEiCSSwrm', 1)
('20140919', 'iRh', 1)
('20140919', 'O', 1)
('20140919', 'gmail.com', 69)
('20140919', 'yahoo.com', 81)
('20140919', 'moRcdMBIaol.com', 1)
('20140919', 'ScfUdiaol.com', 1)
('20140919', 'NsExKahitMfaol.com', 1)
('20140919', 'aol.com', 4)
('20140919', 'qsRymYyqk', 1)
('20140919', 'gmx.de', 57)
('20140919', 'dlgaol.com', 1)
('20140919', 'Baol.com', 1)
('20140920', 'corrupted', 594)
('20140920', 'HzHYbxXXhPETZraol.com', 1)
('20140920', 'live.com', 61)
('20140920', 'mczEgNVDaol.com', 1)
('20140920', 'Paol.com', 1)
('20140920', 'aol.com', 1)
('20140920', 'eQLxxaol.com', 1)
('20140920', 'uLddD', 1)
('20140920', 'mail.ru', 66)
('20140920', 'BZRaypErrIS', 1)
('20140920', 'Jr', 1)
('20140920', 'zBDisikJqUaol.com', 1)
('20140920', 'LHVvqraol.com', 1)
('20140920', 'Vqinyo', 1)
('20140920', 'hotmail.com', 74)
('20140920', 'dRaOaol.com', 1)
('20140920', 'O', 1)
('20140920', 'gmail.com', 55)
('20140920', 'maol.com', 1)
('20140920', 'ATEadfiZXaol.com', 1)
('20140920', 'yahoo.com', 72)
('20140920', 'zDPSddEtTGlaol.com', 1)
('20140920', 'rMAmglsp', 1)
('20140920', 'sJsWDu', 1)
('20140920', 'ezQjzx', 1)
('20140920', 'y', 1)
('20140920', 'gmx.de', 58)
('20140921', 'yahoo.com', 59)
('20140921', 'pkP', 1)
('20140921', 'corrupted', 602)
('20140921', 'hotmail.com', 76)
('20140921', 'lgtdaol.com', 1)
('20140921', 'iYYMZFll', 1)
('20140921', 'eSrlbYAaol.com', 1)
('20140921', 'live.com', 77)
('20140921', 'aol.com', 1)
('20140921', 'nZqLdlRDWKaI', 1)
('20140921', 'gmail.com', 56)
('20140921', 'gmx.de', 69)
('20140921', 'mail.ru', 51)
('20140921', 'VXIgcoSZJqYHnJaol.com', 1)
('20140921', 'Ga', 1)
('20140921', 'OQwS', 1)
('20140921', 'MR', 1)
('20140922', 'SJCAenJzXTaol.com', 1)
('20140922', 'RHnysUHjeAaol.com', 1)
('20140922', 'corrupted', 599)
('20140922', 'BReI', 1)
('20140922', 'live.com', 62)
('20140922', 'Ng', 1)
('20140922', 'OZrksBLZd', 1)
('20140922', 'HPuUp', 1)
('20140922', 'mail.ru', 67)
('20140922', 'UndiezrosBgaol.com', 1)
('20140922', 'qJGqTeaol.com', 1)
('20140922', 'SMaol.com', 1)
('20140922', 'PB', 1)
('20140922', 'caol.com', 1)
('20140922', 'hotmail.com', 57)
('20140922', 'gmail.com', 61)
('20140922', 'gARaol.com', 1)
('20140922', 'egVZEpuinsaol.com', 1)
('20140922', 'yahoo.com', 70)
('20140922', 'EeYJOIHEE', 1)
('20140922', 'fjek', 1)
('20140922', 'bH', 1)
('20140922', 'aol.com', 1)
('20140922', 'sQsKBfhFCRaol.com', 1)
('20140922', 'YLXaol.com', 1)
('20140922', 'gmx.de', 65)
('20140923', 'maREaol.com', 1)
('20140923', 'corrupted', 583)
('20140923', 'live.com', 68)
('20140923', 'YjtGXvFoaol.com', 1)
('20140923', 'bbaol.com', 1)
('20140923', 'mail.ru', 72)
('20140923', 'gSCv', 1)
('20140923', 'rgHuVfyby', 1)
('20140923', 'GkSFrRlL', 1)
('20140923', 'LSdTDCrhJihIaol.com', 1)
('20140923', 'qZbwYaol.com', 1)
('20140923', 'fRaol.com', 1)
('20140923', 'hotmail.com', 77)
('20140923', 'BaGkaol.com', 1)
('20140923', 'nfwW', 1)
('20140923', 'scJlXA', 1)
('20140923', 'gmail.com', 52)
('20140923', 'XW', 1)
('20140923', 'yahoo.com', 62)
('20140923', 'diaol.com', 1)
('20140923', 'aol.com', 1)
('20140923', 'rOy', 1)
('20140923', 'r', 1)
('20140923', 'gmx.de', 68)
('20140923', 'Ngaol.com', 1)
('20140924', 'WD', 1)
('20140924', 'corrupted', 576)
('20140924', 'live.com', 71)
('20140924', 'hYroJmelHgTMMph', 1)
('20140924', 'KSX', 1)
('20140924', 'aYLgEfOiibaol.com', 1)
('20140924', 'WKnRcjObhsWPn', 1)
('20140924', 'fhxgpsCqEcaol.com', 1)
('20140924', 'PSDycDjQdpsIB', 1)
('20140924', 'mail.ru', 70)
('20140924', 'Lrmcmeebvwaol.com', 1)
('20140924', 'FNYiNjq', 1)
('20140924', 'LK', 1)
('20140924', 'rm', 1)
('20140924', 'Mg', 1)
('20140924', 'hotmail.com', 72)
('20140924', 'icCaol.com', 1)
('20140924', 'xQnEaol.com', 1)
('20140924', 'gmail.com', 46)
('20140924', 'gmx.de', 67)
('20140924', 'kSbYsSRaol.com', 1)
('20140924', 'yahoo.com', 80)
('20140924', 'aol.com', 1)
('20140924', 't', 1)
('20140924', 'IztCnaol.com', 1)
('20140925', 'yahoo.com', 64)
('20140925', 'gRhaW', 1)
('20140925', 'kJggeHNeif', 1)
('20140925', 'corrupted', 602)
('20140925', 'hotmail.com', 74)
('20140925', 'waol.com', 1)
('20140925', 'Bqpaol.com', 1)
('20140925', 'live.com', 61)
('20140925', 'CIxAncqUDOdK', 1)
('20140925', 'Jaol.com', 1)
('20140925', 'wHiCRUpRynaol.com', 1)
('20140925', 'Oaol.com', 1)
('20140925', 'LiYJzaol.com', 1)
('20140925', 'jyyNaol.com', 1)
('20140925', 'gmail.com', 58)
('20140925', 'mail.ru', 69)
('20140925', 'gmx.de', 62)
('20140926', 'yahoo.com', 67)
('20140926', 'eNinCaol.com', 1)
('20140926', 'EnnztEKaol.com', 1)
('20140926', 'corrupted', 590)
('20140926', 'hotmail.com', 67)
('20140926', 'Paol.com', 1)
('20140926', 'gguYa', 1)
('20140926', 'live.com', 74)
('20140926', 'aol.com', 2)
('20140926', 'TfiwlCaol.com', 1)
('20140926', 'qRacZ', 1)
('20140926', 'ZsQPjRaol.com', 1)
('20140926', 'yQMRgxnJkiLmaol.com', 1)
('20140926', 'vDpHsEY', 1)
('20140926', 'gmail.com', 61)
('20140926', 'mail.ru', 65)
('20140926', 'gmx.de', 63)
('20140926', 'ruFFQERsYaol.com', 1)
('20140926', 'VdzXTMBvuaol.com', 1)
('20140927', 'corrupted', 587)
('20140927', 'knJAaol.com', 1)
('20140927', 'Waol.com', 1)
('20140927', 'live.com', 82)
('20140927', 'hafDcIaol.com', 1)
('20140927', 'gOfRGnBcuusPaol.com', 1)
('20140927', 'Gaol.com', 1)
('20140927', 'mail.ru', 62)
('20140927', 'xOwazztaol.com', 1)
('20140927', 'Lfqaol.com', 1)
('20140927', 'bPCnxj', 1)
('20140927', 'epFVd', 1)
('20140927', 'ejBtnSaol.com', 1)
('20140927', 'vfhaol.com', 1)
('20140927', 'RjiPzSBwMDaol.com', 1)
('20140927', 'aRykHjaol.com', 1)
('20140927', 'fpyaol.com', 1)
('20140927', 'oThDWylFuWCqlJaol.com', 1)
('20140927', 'hotmail.com', 64)
('20140927', 'mVDNFgaol.com', 1)
('20140927', 'GrcfNeaol.com', 1)
('20140927', 'vaol.com', 1)
('20140927', 'TrDzme', 1)
('20140927', 'gmail.com', 67)
('20140927', 'yQVrAKRHaol.com', 1)
('20140927', 'yahoo.com', 55)
('20140927', 'TlqERYaol.com', 1)
('20140927', 'l', 1)
('20140927', 'aol.com', 1)
('20140927', 'JeXbhoWGaol.com', 1)
('20140927', 'gmx.de', 58)
('20140927', 'sTgZCaol.com', 1)
('20140928', 'egoZaol.com', 1)
('20140928', 'Saol.com', 1)
('20140928', 'corrupted', 579)
('20140928', 'sASiaol.com', 1)
('20140928', 'live.com', 65)
('20140928', 'QSEXUBoWllNIn', 1)
('20140928', 'jzKbZApaol.com', 1)
('20140928', 'sDSOaol.com', 1)
('20140928', 'mail.ru', 59)
('20140928', 'hgD', 1)
('20140928', 'Aaol.com', 1)
('20140928', 'HxNVzchPJgpj', 1)
('20140928', 'peaol.com', 1)
('20140928', 'xjNaol.com', 1)
('20140928', 'rdaUFxcaol.com', 1)
('20140928', 'hotmail.com', 69)
('20140928', 'sWCKwt', 1)
('20140928', 'gmail.com', 67)
('20140928', 'fj', 1)
('20140928', 'yahoo.com', 72)
('20140928', 'c', 1)
('20140928', 'RNoxPqqhkaol.com', 1)
('20140928', 'eNqLGTkItCJ', 1)
('20140928', 'BrVnFTJTrvaol.com', 1)
('20140928', 'aol.com', 2)
('20140928', 'rBN', 1)
('20140928', 'TJnAX', 1)
('20140928', 'PwSQRnARDstVrIT', 1)
('20140928', 'gmx.de', 66)
('20140929', 'RgaGjaol.com', 1)
('20140929', 'corrupted', 587)
('20140929', 'live.com', 54)
('20140929', 'pQnaol.com', 1)
('20140929', 'mail.ru', 62)
('20140929', 'OHxAKSPnaol.com', 1)
('20140929', 'xN', 1)
('20140929', 'bnRYV', 1)
('20140929', 'Gqqt', 1)
('20140929', 'yDPNsdGsUthhPEaol.com', 1)
('20140929', 'Nmy', 1)
('20140929', 'SOcWnCfSCaol.com', 1)
('20140929', 'hotmail.com', 66)
('20140929', 'YqlUaol.com', 1)
('20140929', 'IYUPAEyEF', 1)
('20140929', 'IP', 1)
('20140929', 'gfDtvGvngaol.com', 1)
('20140929', 'KvscPmpGPQUduNaol.com', 1)
('20140929', 'gmail.com', 74)
('20140929', 'Yetvy', 1)
('20140929', 'yahoo.com', 72)
('20140929', 'aol.com', 2)
('20140929', 'gmx.de', 68)
('20140930', 'ptaeNyOqR', 1)
('20140930', 'corrupted', 583)
('20140930', 'TLTDBfXLE', 1)
('20140930', 'live.com', 69)
('20140930', 'WgNiaol.com', 1)
('20140930', 'QpnLdFyaol.com', 1)
('20140930', 'JCuhYjLd', 1)
('20140930', 'mail.ru', 60)
('20140930', 'lIFfmphbaol.com', 1)
('20140930', 'faol.com', 1)
('20140930', 'omAO', 1)
('20140930', 'BVsNUuVaol.com', 1)
('20140930', 'DbBXOKyiIL', 1)
('20140930', 'ejsQunNaol.com', 1)
('20140930', 'EZJZN', 1)
('20140930', 'hotmail.com', 61)
('20140930', 'Txaol.com', 1)
('20140930', 'gmail.com', 78)
('20140930', 'TuxpLTaol.com', 1)
('20140930', 'yahoo.com', 65)
('20140930', 'aol.com', 1)
('20140930', 'gmx.de', 67)
('20140930', 'WUH', 1)
('20140930', 'fTIRdaol.com', 1)
('20141001', 'WWeWN', 1)
('20141001', 'dLBAaxswVSOAQxaol.com', 1)
('20141001', 'corrupted', 595)
('20141001', 'MGoyaol.com', 1)
('20141001', 'live.com', 63)
('20141001', 'mail.ru', 61)
('20141001', 'zCaol.com', 1)
('20141001', 'lcxCpuqKdaol.com', 1)
('20141001', 'PHZ', 1)
('20141001', 'ccrm', 1)
('20141001', 'otTYYDaol.com', 1)
('20141001', 'B', 1)
('20141001', 'hotmail.com', 66)
('20141001', 'zgZwwW', 1)
('20141001', 'gmail.com', 58)
('20141001', 'yahoo.com', 74)
('20141001', 'f', 1)
('20141001', 'HfBCRX', 1)
('20141001', 'tkELYcSU', 1)
('20141001', 'dRlaol.com', 1)
('20141001', 'KDxLaol.com', 1)
('20141001', 'w', 1)
('20141001', 'MZL', 1)
('20141001', 'gmx.de', 65)
('20141001', 'tGaol.com', 1)
('20141002', 'ZJffGWXwZPqRsbraol.com', 1)
('20141002', 'inZgIu', 1)
('20141002', 'corrupted', 597)
('20141002', 'ufaol.com', 1)
('20141002', 'live.com', 55)
('20141002', 'DAt', 1)
('20141002', 'eZsFyjEZXWakI', 1)
('20141002', 'mail.ru', 64)
('20141002', 'gPSZlOxnhZkzy', 1)
('20141002', 'BPamLVDWaol.com', 1)
('20141002', 'iKYaol.com', 1)
('20141002', 'GNSaol.com', 1)
('20141002', 'hotmail.com', 58)
('20141002', 'cZXIbupaol.com', 1)
('20141002', 'WyPkEIWXdtROwmO', 1)
('20141002', 'gmail.com', 69)
('20141002', 'ZW', 1)
('20141002', 'yPhklzHyaArMaol.com', 1)
('20141002', 'yahoo.com', 63)
('20141002', 'GhV', 1)
('20141002', 'KN', 1)
('20141002', 'aol.com', 2)
('20141002', 'guGffQxcQZM', 1)
('20141002', 'gmx.de', 75)
('20141002', 'lLf', 1)
('20141003', 'RknOaTIz', 1)
('20141003', 'corrupted', 587)
('20141003', 'IDmLfV', 1)
('20141003', 'live.com', 64)
('20141003', 'o', 1)
('20141003', 'kDHCzSIscaol.com', 1)
('20141003', 'mail.ru', 67)
('20141003', 'OHhEWl', 1)
('20141003', 'XRaol.com', 1)
('20141003', 'wVCTQs', 1)
('20141003', 'yhDfEUkaol.com', 1)
('20141003', 'iNDXJuUn', 1)
('20141003', 'uQTFtfLVJaol.com', 1)
('20141003', 'hotmail.com', 59)
('20141003', 'Lja', 1)
('20141003', 'CNF', 1)
('20141003', 'clBowaol.com', 1)
('20141003', 'gmail.com', 64)
('20141003', 'lGqLPhFnuWaol.com', 1)
('20141003', 'X', 1)
('20141003', 'GPgsmzUgKo', 1)
('20141003', 'yahoo.com', 67)
('20141003', 'wodTaol.com', 1)
('20141003', 'OFj', 1)
('20141003', 'DVkaodaol.com', 1)
('20141003', 'zdXnSehk', 1)
('20141003', 'aol.com', 3)
('20141003', 'EtYL', 1)
('20141003', 'gmx.de', 68)
('20141004', 'corrupted', 577)
('20141004', 'live.com', 69)
('20141004', 'uezHV', 1)
('20141004', 'HH', 1)
('20141004', 'ZohzbbdhdKYw', 1)
('20141004', 'mail.ru', 46)
('20141004', 'WDVmUsW', 1)
('20141004', 'PRyjNVQMvRYjkiaol.com', 1)
('20141004', 'qWptDpMYza', 1)
('20141004', 'OOBaol.com', 1)
('20141004', 'JLUW', 1)
('20141004', 'VMCkFHxaol.com', 1)
('20141004', 'CYPZPA', 1)
('20141004', 'fhBAaol.com', 1)
('20141004', 'hotmail.com', 73)
('20141004', 'LUMgqYuOFtfXs', 1)
('20141004', 'gmail.com', 69)
('20141004', 'haol.com', 1)
('20141004', 'KuDaDZaol.com', 1)
('20141004', 'lDVZKP', 1)
('20141004', 'yahoo.com', 58)
('20141004', 'SlKILaol.com', 1)
('20141004', 'KRQmGOUaol.com', 1)
('20141004', 'FmmhBWIScB', 1)
('20141004', 'wQoImaol.com', 1)
('20141004', 'yCM', 1)
('20141004', 'gmx.de', 87)
('20141004', 'vMOgkkLI', 1)
('20141005', 'corrupted', 581)
('20141005', 'Waol.com', 1)
('20141005', 'live.com', 63)
('20141005', 'mail.ru', 73)
('20141005', 'waol.com', 1)
('20141005', 'zQT', 1)
('20141005', 'yDZVdaol.com', 1)
('20141005', 'lwufnZvtezpyw', 1)
('20141005', 'CEZ', 1)
('20141005', 'hotmail.com', 73)
('20141005', 'VIQpXCWUCzbJ', 1)
('20141005', 'L', 2)
('20141005', 'PUuMDhd', 1)
('20141005', 'lDahaol.com', 1)
('20141005', 'jm', 1)
('20141005', 'U', 1)
('20141005', 'gmail.com', 79)
('20141005', 'yahoo.com', 57)
('20141005', 'VgVQfOFAraol.com', 1)
('20141005', 'TLaol.com', 1)
('20141005', 'uaol.com', 1)
('20141005', 'gmx.de', 56)
('20141005', 'z', 1)
('20141005', 'Fsaol.com', 1)
